"Unnamed Column","Unnamed Column 1","Unnamed Column 2","q1. Most students at this school treat each other with respect.

Strongly Disagree/Disagree","q1. Most students at this school treat each other with respect.

Strongly Agree/Agree","q2. At this school, students with disabilities are included in all school activities.Strongly Disagree/Disagree","q2. At this school, students with disabilities are included in all school activities.Strongly Agree/Agree","q3. My school encourages and includes student input in decision-making processes.Strongly Disagree/Disagree","q3. My school encourages and includes student input in decision-making processes.Strongly Agree/Agree","q4. My teachers use examples of students' different cultures/backgrounds/families in their lessons to make learning more meaningful for me.Strongly Disagree/Disagree","q4. My teachers use examples of students' different cultures/backgrounds/families in their lessons to make learning more meaningful for me.Strongly Agree/Agree","q5. I see people of many races, ethnicities, cultures, and backgrounds represented in the curriculum.Strongly Disagree/Disagree","q5. I see people of many races, ethnicities, cultures, and backgrounds represented in the curriculum.Strongly Agree/Agree","q6. At this school, we have conversations about race and racism with adults.Strongly Disagree/Disagree","q6. At this school, we have conversations about race and racism with adults.Strongly Agree/Agree","q7. In general, my teachers treat students from different cultures or backgrounds equally.Strongly Disagree/Disagree","q7. In general, my teachers treat students from different cultures or backgrounds equally.Strongly Agree/Agree","q8. I feel that my teachers respect my culture/background.Strongly Disagree/Disagree","q8. I feel that my teachers respect my culture/background.Strongly Agree/Agree","q9. In general, my teachers make their lessons relevant to my everyday life experiences.","q9. In general, my teachers make their lessons relevant to my everyday life experiences.Strongly Agree/Agree","q10. I am presented with positive images of people from a variety of races, ethnicities, cultures, and backgrounds.Strongly Disagree/Disagree","q10. I am presented with positive images of people from a variety of races, ethnicities, cultures, and backgrounds.Strongly Agree/Agree","q11. During this school year, I have felt happy when learning.Strongly Disagree/Disagree","q11. During this school year, I have felt happy when learning.Strongly Agree/Agree","q12. During this school year, I have felt safe when learning.Strongly Disagree/Disagree","q12. During this school year, I have felt safe when learning.Strongly Agree/Agree","q13. During this school year, I have felt optimistic when learning.Strongly Disagree/Disagree","q13. During this school year, I have felt optimistic when learning.Strongly Agree/Agree","q14. During this school year, I have felt bored when learning.Strongly Disagree/Disagree","q14. During this school year, I have felt bored when learning.Strongly Agree/Agree","q15. During this school year, I have felt stressed out when learning.Strongly Disagree/Disagree","q15. During this school year, I have felt stressed out when learning.Strongly Agree/Agree","q16. During this school year, I have felt worried when learning.Strongly Disagree/Disagree","q16. During this school year, I have felt worried when learning.Strongly Agree/Agree","q17. In how many of your classes, this school year, do YOU feel the following statement is true? I learn a lot from feedback on my work.None/A few","q17. In how many of your classes, this school year, do YOU feel the following statement is true? I learn a lot from feedback on my work.All/Most","q18. In how many of your classes, this school year, do YOU feel the following statement is true? It's clear what I need to do to succeed in class.None/A few","q18. In how many of your classes, this school year, do YOU feel the following statement is true? It's clear what I need to do to succeed in class.All/Most","q19. In how many of your classes, this school year, do YOU feel the following statement is true? The work we do in class is good preparation for our class tests.None/A few","q19. In how many of your classes, this school year, do YOU feel the following statement is true? The work we do in class is good preparation for our class tests.All/Most","q20. In how many of your classes, this school year, do YOU feel the following statement is true? Class assignments help me learn the course material.None/A few","q20. In how many of your classes, this school year, do YOU feel the following statement is true? Class assignments help me learn the course material.All/Most","q21. In how many of your classes, this school year, do YOU feel the following statement is true? I know what my teacher wants me to learn in class.None/A few","q21. In how many of your classes, this school year, do YOU feel the following statement is true? I know what my teacher wants me to learn in class.All/Most","q22. In how many of your classes, this school year, do YOU feel the following statement is true? I have regular opportunities to interact with other students.None/A few","q22. In how many of your classes, this school year, do YOU feel the following statement is true? I have regular opportunities to interact with other students.All/Most","q23. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…help me catch up if I am behind.None/A few","q23. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…help me catch up if I am behind.All/Most","q24. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…notice if I have trouble learning something.None/A few","q24. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…notice if I have trouble learning something.All/Most","q25. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…give me specific suggestions about how I can improve my work in class.None/A few","q25. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…give me specific suggestions about how I can improve my work in class.All/Most","q26. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…explain things a different way if I don't understand something in class.None/A few","q26. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…explain things a different way if I don't understand something in class.All/Most","q27. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…support me when I am upset.None/A few","q27. In how many of your classes, this school year, do YOU feel the following statement is true? My teachers…support me when I am upset.All/Most","q28.  I’m learning a lot in my classes at this school to prepare me for the next level or grade.Strongly Disagree/Disagree","q28.  I’m learning a lot in my classes at this school to prepare me for the next level or grade.Strongly Agree/Agree","q29. My school expects all students to succeed.Strongly Disagree/Disagree","q29. My school expects all students to succeed.Strongly Agree/Agree","q30. There is at least one adult in the school that I can confide in.Strongly Disagree/Disagree","q30. There is at least one adult in the school that I can confide in.Strongly Agree/Agree","q31. My teachers check-in with me frequently about how I’m doing both personally and academically.Strongly Disagree/Disagree","q31. My teachers check-in with me frequently about how I’m doing both personally and academically.Strongly Agree/Agree","q32. There is time at school to talk about feelings and emotions.Strongly Disagree/Disagree","q32. There is time at school to talk about feelings and emotions.Strongly Agree/Agree","q33. I feel like I belong at this school.Strongly Disagree/Disagree","q33. I feel like I belong at this school.Strongly Agree/Agree","q34. My teachers will always listen to students' ideas.Strongly Disagree/Disagree","q34. My teachers will always listen to students' ideas.Strongly Agree/Agree","q35. My teachers always do what they say they will do.Strongly Disagree/Disagree","q35. My teachers always do what they say they will do.Strongly Agree/Agree","q36. My teachers treat me with respect.Strongly Disagree/Disagree","q36. My teachers treat me with respect.Strongly Agree/Agree","q37. Most students treat students from different cultures or backgrounds equally.Strongly Disagree/Disagree","q37. Most students treat students from different cultures or backgrounds equally.Strongly Agree/Agree","q38. When my teachers tell me not to do something, I know they have a good reason.Strongly Disagree/Disagree","q38. When my teachers tell me not to do something, I know they have a good reason.Strongly Agree/Agree","q39. My classes at this school really make me think critically.Strongly Disagree/Disagree","q39. My classes at this school really make me think critically.Strongly Agree/Agree","q40. Discipline is applied fairly in my school.Strongly Disagree/Disagree","q40. Discipline is applied fairly in my school.Strongly Agree/Agree","q41. In how many of your classes …are you challenged?None/A few","q41. In how many of your classes …are you challenged?All/Most","q42. In how many of your classes …do your teachers ask difficult questions on tests?None/A few","q42. In how many of your classes …do your teachers ask difficult questions on tests?All/Most","q43. In how many of your classes …do your teachers ask difficult questions in class?None/A few","q43. In how many of your classes …do your teachers ask difficult questions in class?All/Most","q44. In how many of your classes …do you work in small groups?None/A few","q44. In how many of your classes …do you work in small groups?All/Most","q45. In how many of your classes …do your teachers want students to become better thinkers, not just memorize things?None/A few","q45. In how many of your classes …do your teachers want students to become better thinkers, not just memorize things?All/Most","q46. I feel safe…outside around this school.Strongly Disagree/Disagree","q46. I feel safe…outside around this school.Strongly Agree/Agree","q47. I feel safe…traveling between home and this school.Strongly Disagree/Disagree","q47. I feel safe…traveling between home and this school.Strongly Agree/Agree","q48. I feel safe…in the hallways, bathrooms, locker rooms, and cafeteria of this school.Strongly Disagree/Disagree","q48. I feel safe…in the hallways, bathrooms, locker rooms, and cafeteria of this school.Strongly Agree/Agree","q49. I feel safe…in my classes at this school.Strongly Disagree/Disagree","q49. I feel safe…in my classes at this school.Strongly Agree/Agree","q50. At this school students harass, bully, or intimidate other students.None of the time/Rarely","q50. At this school students harass, bully, or intimidate other students.Most of the time/Some of the time","q51. At this school students harass, bully, or intimidate each other because of their race, religion, ethnicity, national origin, or citizenship/immigration status.None of the time/Rarely","q51. At this school students harass, bully, or intimidate each other because of their race, religion, ethnicity, national origin, or citizenship/immigration status.Most of the time/Some of the time","q52. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.None of the time/Rarely","q52. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.Most of the time/Some of the time","q53. At this school students harass, bully, or intimidate each other because of other differences, like disability or weight.None of the time/Rarely","q53. At this school students harass, bully, or intimidate each other because of other differences, like disability or weight.Most of the time/Some of the time","q54. At this school students harass, bully, or intimidate each other online (through mobile phones, social media, email, or other forms of electronic communication).None of the time/Rarely","q54. At this school students harass, bully, or intimidate each other online (through mobile phones, social media, email, or other forms of electronic communication).Most of the time/Some of the time","q55. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs.None of the time/Rarely","q55. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs.Most of the time/Some of the time","q56. At this school there is gang activity.None of the time/Rarely","q56. At this school there is gang activity.Most of the time/Some of the time","q59. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q59. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q60. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q60. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q61. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q61. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q62. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q62. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q63. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q63. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q64. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q64. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q65. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers, ad","q65. If you are a student in grades 9-12, ANSWER this question. How much do YOU agree with the following statements? Adults at this school (including teachers, administrators, counselors, and the principal)...
Adults at this school (including teachers,  1","q57. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. How much do YOU agree with the following statements?
This school provides guidance for the application process for high school.Strongly","q57. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. How much do YOU agree with the following statements?
This school provides guidance for the application process for high school.Strong 1","q58. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. How much do YOU agree with the following statements?
This school educates families about the application/enrollment process for high sc","q58. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. How much do YOU agree with the following statements?
This school educates families about the application/enrollment process for high  1"
"01M034","P.S. 034 Franklin D. Roosevelt","75%","37%","63%","18%","82%","10%","90%","11%","89%","10%","90%","18%","82%","9%","91%","2%","98%","23%","77%","12%","88%","23%","77%","12%","88%","22%","78%","28%","72%","33%","67%","58%","42%","41%","59%","22%","78%","31%","69%","30%","70%","19%","81%","47%","53%","29%","71%","32%","68%","28%","72%","26%","74%","40%","60%","13%","87%","14%","86%","15%","85%","18%","82%","30%","70%","24%","76%","6%","94%","16%","84%","4%","96%","21%","79%","12%","88%","28%","72%","32%","68%","58%","42%","60%","40%","60%","40%","56%","44%","25%","75%","12%","88%","6%","94%","10%","90%","10%","90%","47%","53%","72%","28%","75%","25%","59%","41%","67%","33%","92%","8%","87%","13%",,,,,,,,,,,,,,,"15%","85%","18%","82%"
"01M140","P.S. 140 Nathan Straus","51%","14%","86%","3%","97%","4%","96%","12%","88%","3%","98%","16%","84%","2%","98%","0%","100%","13%","88%","1%","99%","15%","85%","5%","95%","21%","79%","30%","70%","37%","63%","59%","41%","27%","73%","7%","93%","16%","84%","19%","81%","11%","89%","33%","67%","9%","91%","17%","83%","11%","89%","12%","88%","24%","76%","3%","97%","6%","94%","10%","90%","8%","92%","20%","80%","7%","93%","6%","94%","9%","91%","0%","100%","8%","92%","3%","97%","17%","83%","8%","92%","42%","58%","56%","44%","61%","39%","58%","42%","8%","92%","7%","93%","4%","96%","2%","98%","0%","100%","69%","31%","87%","13%","87%","13%","72%","28%","69%","31%","93%","7%","97%","3%",,,,,,,,,,,,,,,"1%","99%","1%","99%"
"01M184","P.S. 184m Shuang Wen","87%","11%","89%","13%","87%","9%","91%","22%","78%","12%","88%","17%","83%","7%","93%","6%","94%","19%","81%","8%","92%","15%","85%","8%","92%","27%","73%","35%","65%","44%","56%","58%","42%","38%","62%","16%","84%","19%","81%","17%","83%","14%","86%","42%","58%","25%","75%","34%","66%","26%","74%","27%","73%","49%","51%","8%","92%","12%","88%","27%","73%","31%","69%","38%","62%","12%","88%","12%","88%","25%","75%","7%","93%","12%","88%","13%","87%","19%","81%","15%","85%","52%","48%","58%","42%","61%","39%","45%","55%","18%","82%","15%","85%","10%","90%","9%","91%","10%","90%","80%","20%","91%","9%","87%","13%","85%","15%","82%","18%","96%","4%","96%","4%",,,,,,,,,,,,,,,"11%","89%","10%","90%"
"01M188","P.S. 188 The Island School","70%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","0%","100%","0%","100%","0%","100%","95%","5%","88%","12%","88%","12%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","2%","98%","2%","98%","2%","98%","2%","98%","1%","99%","1%","99%","1%","99%","1%","99%","1%","99%","98%","2%","98%","2%","98%","2%","98%","2%","98%","2%","98%","2%","98%","2%",,,,,,,,,,,,,,,"0%","100%","0%","100%"
"01M292","Orchard Collegiate Academy","35%","1%","99%","0%","100%","5%","95%","6%","94%","2%","98%","6%","94%","1%","99%","1%","99%","7%","93%","2%","98%","24%","76%","4%","96%","27%","73%","38%","62%","22%","78%","39%","61%","43%","57%","18%","82%","16%","84%","30%","70%","24%","76%","49%","51%","21%","79%","36%","64%","31%","69%","32%","68%","43%","57%","18%","82%","3%","97%","14%","86%","30%","70%","29%","71%","13%","87%","12%","88%","9%","91%","3%","97%","6%","94%","10%","90%","9%","91%","9%","91%","38%","62%","45%","55%","55%","45%","60%","40%","23%","77%","12%","88%","13%","88%","5%","95%","5%","95%","84%","16%","90%","10%","90%","10%","87%","13%","90%","10%","85%","15%","94%","6%","12%","88%","4%","96%","6%","94%","12%","88%","3%","97%","10%","90%","11%","89%",,,,
"01M332","University Neighborhood Middle School","59%","14%","86%","4%","96%","5%","95%","10%","90%","5%","95%","8%","92%","5%","95%","1%","99%","18%","82%","8%","92%","21%","79%","5%","95%","25%","75%","25%","75%","40%","60%","58%","42%","40%","60%","15%","85%","23%","77%","19%","81%","11%","89%","43%","57%","21%","79%","28%","72%","20%","80%","23%","77%","28%","72%","17%","83%","7%","93%","20%","80%","17%","83%","23%","77%","13%","87%","8%","92%","13%","87%","3%","97%","10%","90%","13%","87%","17%","83%","19%","81%","50%","50%","47%","53%","61%","39%","42%","58%","16%","84%","5%","95%","4%","96%","5%","95%","4%","96%","83%","17%","89%","11%","90%","10%","82%","18%","83%","17%","96%","4%","96%","4%",,,,,,,,,,,,,,,"10%","90%","12%","88%"
"01M378","School for Global Leaders","43%","8%","92%","9%","91%","4%","96%","14%","86%","3%","97%","16%","84%","4%","96%","1%","99%","22%","78%","5%","95%","22%","78%","5%","95%","24%","76%","32%","68%","35%","65%","53%","47%","23%","77%","9%","91%","19%","81%","17%","83%","17%","83%","48%","52%","19%","81%","24%","76%","15%","85%","22%","78%","47%","53%","9%","91%","14%","86%","26%","74%","28%","72%","30%","70%","20%","80%","10%","90%","26%","74%","3%","97%","5%","95%","13%","87%","28%","72%","20%","80%","42%","58%","41%","59%","58%","42%","65%","35%","10%","90%","26%","74%","12%","88%","19%","81%","5%","95%","83%","17%","91%","9%","88%","12%","89%","11%","81%","19%","97%","3%","95%","5%",,,,,,,,,,,,,,,"17%","83%","20%","80%"
"01M448","University Neighborhood High School","81%","4%","96%","3%","97%","3%","97%","4%","96%","2%","98%","4%","96%","4%","96%","2%","98%","8%","92%","3%","97%","23%","78%","4%","96%","24%","76%","43%","57%","36%","64%","48%","53%","29%","71%","11%","89%","18%","82%","15%","85%","11%","89%","37%","63%","11%","89%","22%","78%","14%","86%","18%","82%","27%","73%","11%","89%","3%","97%","12%","88%","11%","89%","16%","84%","9%","91%","7%","93%","6%","94%","2%","98%","5%","95%","5%","95%","10%","90%","4%","96%","38%","62%","44%","56%","52%","48%","41%","59%","16%","84%","7%","93%","13%","87%","7%","93%","5%","95%","92%","8%","94%","6%","93%","7%","92%","8%","92%","8%","94%","6%","96%","4%","12%","88%","5%","95%","8%","92%","10%","90%","6%","94%","11%","89%","8%","92%",,,,
"01M450","East Side Community School","63%","6%","94%","5%","95%","4%","96%","7%","93%","3%","97%","3%","97%","4%","96%","2%","98%","14%","86%","3%","97%","22%","78%","4%","96%","25%","75%","28%","72%","27%","73%","50%","50%","21%","79%","11%","89%","14%","86%","13%","87%","10%","90%","25%","75%","15%","85%","21%","79%","16%","84%","17%","83%","26%","74%","8%","92%","3%","97%","13%","87%","13%","87%","19%","81%","11%","89%","8%","92%","10%","90%","4%","96%","5%","95%","9%","91%","13%","87%","6%","94%","32%","68%","32%","68%","39%","61%","35%","65%","13%","87%","4%","96%","9%","91%","4%","96%","2%","98%","84%","16%","91%","9%","90%","10%","88%","12%","87%","13%","90%","10%","95%","5%","7%","93%","4%","96%","7%","93%","8%","92%","5%","95%","9%","91%","12%","88%","12%","88%","11%","89%"
"01M515","Lower East Side Preparatory High School","24%","5%","95%","6%","94%","2%","98%","3%","97%","3%","97%","5%","95%","4%","96%","4%","96%","3%","97%","5%","95%","5%","95%","4%","96%","12%","88%","62%","38%","57%","43%","54%","46%","27%","73%","15%","85%","14%","86%","15%","85%","12%","88%","23%","77%","16%","84%","23%","77%","13%","87%","15%","85%","18%","82%","3%","97%","2%","98%","6%","94%","7%","93%","8%","92%","4%","96%","3%","97%","4%","96%","1%","99%","8%","92%","2%","98%","13%","87%","6%","94%","39%","61%","63%","37%","67%","33%","27%","73%","11%","89%","9%","91%","16%","84%","11%","89%","8%","92%","86%","14%","89%","11%","89%","11%","88%","12%","89%","11%","88%","12%","85%","15%","5%","95%","2%","98%","4%","96%","4%","96%","5%","95%","4%","96%","5%","95%",,,,
"01M539","New Explorations into Science, Technology and Math High School","80%","4%","96%","6%","94%","12%","88%","15%","85%","11%","89%","3%","97%","4%","96%","2%","98%","23%","77%","5%","95%","29%","71%","5%","95%","34%","66%","25%","75%","26%","74%","43%","57%","39%","61%","15%","85%","20%","80%","18%","82%","11%","89%","41%","59%","19%","81%","43%","57%","34%","66%","35%","65%","41%","59%","15%","85%","5%","95%","22%","78%","35%","65%","29%","71%","15%","85%","14%","86%","20%","80%","3%","97%","5%","95%","12%","88%","17%","83%","15%","85%","38%","62%","36%","64%","41%","59%","27%","73%","19%","81%","18%","82%","16%","84%","3%","97%","2%","98%","85%","15%","85%","15%","90%","10%","90%","10%","82%","18%","86%","14%","97%","3%","24%","76%","6%","94%","14%","86%","24%","76%","5%","95%","25%","75%","29%","71%","25%","75%","22%","78%"
"01M650","Cascades High School","1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01M696","Bard High School Early College","61%","3%","97%","5%","95%","10%","90%","8%","92%","10%","90%","4%","96%","3%","97%","2%","98%","14%","86%","3%","97%","34%","66%","5%","95%","34%","66%","27%","73%","7%","93%","26%","74%","21%","79%","16%","84%","15%","85%","15%","85%","14%","86%","27%","73%","23%","77%","39%","61%","23%","77%","23%","77%","36%","64%","13%","87%","3%","97%","16%","84%","30%","70%","29%","71%","14%","86%","7%","93%","20%","80%","1%","99%","3%","97%","8%","92%","2%","98%","9%","91%","12%","88%","17%","83%","17%","83%","22%","78%","10%","90%","10%","90%","15%","85%","1%","99%","2%","98%","88%","12%","91%","9%","92%","8%","91%","9%","85%","15%","70%","30%","97%","3%","20%","80%","4%","96%","11%","89%","20%","80%","4%","96%","12%","88%","14%","86%",,,,
"01M839","Tompkins Square Middle School","65%","6%","94%","3%","97%","6%","94%","10%","90%","3%","97%","3%","97%","5%","95%","2%","98%","16%","84%","4%","96%","16%","84%","4%","96%","28%","72%","32%","68%","37%","63%","58%","42%","41%","59%","15%","85%","15%","85%","19%","81%","9%","91%","34%","66%","22%","78%","27%","73%","22%","78%","27%","73%","34%","66%","6%","94%","10%","90%","21%","79%","24%","76%","34%","66%","9%","91%","12%","88%","15%","85%","5%","95%","8%","92%","13%","87%","18%","82%","16%","84%","44%","56%","54%","46%","61%","39%","23%","77%","10%","90%","6%","94%","9%","91%","7%","93%","5%","95%","83%","17%","92%","8%","89%","11%","88%","12%","87%","13%","99%","1%","97%","3%",,,,,,,,,,,,,,,"8%","92%","7%","93%"
"02M047","47 The American Sign Language and English Secondary School","58%","4%","96%","4%","96%","5%","95%","12%","88%","9%","91%","10%","90%","1%","99%","1%","99%","13%","87%","1%","99%","35%","65%","4%","96%","31%","69%","21%","79%","16%","84%","40%","60%","43%","57%","17%","83%","25%","75%","30%","70%","18%","82%","40%","60%","16%","84%","36%","64%","20%","80%","26%","74%","46%","54%","16%","84%","4%","96%","13%","87%","17%","83%","34%","66%","20%","80%","9%","91%","10%","90%","2%","98%","3%","97%","11%","89%","21%","79%","15%","85%","47%","53%","44%","56%","57%","43%","46%","54%","23%","77%","9%","91%","19%","81%","4%","96%","2%","98%","91%","9%","95%","5%","96%","4%","93%","7%","92%","8%","94%","6%","98%","2%","16%","84%","7%","93%","7%","93%","21%","79%","7%","93%","16%","84%","23%","77%",,,,
