"Facility Name","Location Type","Operator","Status","Open","Hours of Operation","Accessibility","Restroom Type","Changing Stations","Additional Notes","Website","Latitude","Longitude","Location"
"Battery Park Zone 1","Park","NYC Parks","Not Operational",,,,,"Yes",,,"40.70441","-74.0159","POINT (-74.0159 40.70441)"
"Carl Schurz Main Lawn","Park","NYC Parks","Not Operational",,,"Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.77358","-73.945","POINT (-73.945 40.77358)"
"Tappen Park","Park","NYC Parks","Not Operational",,,,,"""N/A, restrooms closed""",,,"40.62661","-74.0778","POINT (-74.0778 40.62661)"
"Refinery Building","Park","Domino Park","Operational","Year Round","6am-11pm",,,,,,"40.714424","-73.967306","POINT (-73.967306 40.714424)"
"Gravesend Library, BPL","Library","BPL","Closed for Construction","Year Round",,"Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/gravesend","40.590553","-73.97181","POINT (-73.97181 40.590553)"
"Aguilar Library, NYPL","Library","NYPL","Closed for Construction","Future",,,,,,"https://www.nypl.org/locations/aguilar","40.794223","-73.94346","POINT (-73.94346 40.794223)"
"Maspeth Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.7309","-73.9254","POINT (-73.9254 40.7309)"
"Crotona Malls Zone 1","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","""N/A, restrooms closed""",,,"40.84284","-73.8855","POINT (-73.8855 40.84284)"
"Fort Hamilton Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/fort-hamilton","40.616381","-74.031371","POINT (-74.031371 40.616381)"
"Rienzi Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.88764","-73.8588","POINT (-73.8588 40.88764)"
"Lopez Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms",,,,"40.61127","-74.085","POINT (-74.085 40.61127)"
"Andrew Heiskell Braille and Talking Book Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No","Changing Table in Children's room","https://www.nypl.org/locations/heiskell","40.740474","-73.993358","POINT (-73.993358 40.740474)"
"Old Town Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59549","-74.0815","POINT (-74.0815 40.59549)"
"575 Fifth Avenue POPS","Privately Owned Public Space","575 Fifth Associates","Operational","Year Round","Everyday 7:00 am-12:00 am","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.756276","-73.978243","POINT (-73.978243 40.756276)"
"Fort Greene Park Zone 3","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.69223","-73.9747","POINT (-73.9747 40.69223)"
"Starlight Park Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.833733","-73.882888","POINT (-73.882888 40.833733)"
"Clove Lakes Rink","Park","NYC Parks Concessionaire","Operational","Seasonal","Friday 4:00-10:00pm, Saturday 12:00pm-10:00pm, Sunday 12:00pm-6:00pm","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.615832","-74.1079","POINT (-74.1079 40.615832)"
"Mosholu Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.87266","-73.8829","POINT (-73.8829 40.87266)"
"General Hart Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.74879","-73.8972","POINT (-73.8972 40.74879)"
"Gertrude Ederle Recreation Center","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.77147","-73.9887","POINT (-73.9887 40.77147)"
"Great Kills Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/great-kills","40.552432","-74.151113","POINT (-74.151113 40.552432)"
